abilities,advances_from,advances_to,alignment,cost,hp,unit,level,moves,xp,description,unit_page,unit_id
‒,‒,blood_bat,chaotic,13,16,vampire_bat,0,8,22,"Vampire bats are flying beasts that feed on the blood of other creatures. While their fangs are not very powerful, the health of victims is drained away along with their blood, and given to the Bats.
Special Notes: During battle, this unit can drain life from victims to renew its own health.",https://units.wesnoth.org/1.14/mainline/en_US/Vampire%20Bat.html,1
‒,vampire_bat,dread_bat,chaotic,21,27,blood_bat,1,9,70,"Blood Bats are so named because of their ruddy hue, which some mark as a symbol of their preferred diet. These creatures are fast and can drain the blood of those they attack, thereby gaining some of the health lost by their victims.
Special Notes: During battle, this unit can drain life from victims to renew its own health.",https://units.wesnoth.org/1.14/mainline/en_US/Blood%20Bat.html,2
‒,blood_bat,‒,chaotic,34,33,dread_bat,2,9,100,"The most vicious, predatory, and successful of the Blood Bats become Dread Bats, gaining the ability to drain not merely the blood but the very life energy of their victims.
Special Notes: During battle, this unit can drain life from victims to renew its own health.",https://units.wesnoth.org/1.14/mainline/en_US/Dread%20Bat.html,3
‒,‒,‒,lawful,85,98,armageddon_drake,4,5,200,"Were it not for the armor they wear, certain drakes might be indistinguishable from true dragons, at least to the lesser races for whom dragons are but legend. The creatures known as ‘Armageddon Drakes’ are towering things, both immune to and possessed of a tremendous fire.",https://units.wesnoth.org/1.14/mainline/en_US/Armageddon%20Drake.html,4
‒,‒,"fire_drake,drake_flare",lawful,21,42,drake_burner,1,5,43,"Drake Burners are the proud few in whom the blood and strength of their remote ancestors runs truest, giving them the ability to breathe fire. This, coupled with their sheer size and fearsome claws, makes them deadly foes in combat.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Burner.html,5
leadership,drake_burner,drake_flameheart,lawful,35,55,drake_flare,2,5,80,"Respected for the heat of their flame and revered for their charisma, Flares aspire to become great leaders of their people, both in war and in peace. Though a small isolated tribe will sometimes accept a Flare as a leader, they are more often seen leading small war parties or mediating disputes with a subtle hand.
Special Notes: The leadership of this unit enables adjacent units of the same side to deal more damage in combat, though this only applies to units of lower level.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Flare.html,6
leadership,drake_flare,‒,lawful,51,72,drake_flameheart,3,5,150,"Flamehearts lack the strength to defeat other high-ranking drakes in single combat, but prefer in any case to avoid confrontation within the tribe. Experience has taught any drake of this stature the extent of his authority: where he can push those he leads and when it is best to leave them to their own devices. Only occasionally will a Flameheart challenge his tribe’s leader for supremacy, and only if he is sure of the support of his fellow drakes.
Special Notes: The leadership of this unit enables adjacent units of the same side to deal more damage in combat, though this only applies to units of lower level.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Flameheart.html,7
‒,drake_burner,inferno_drake,lawful,35,63,fire_drake,2,5,80,"Not yet permitted to wear the red-gold reserved for the highest ranks of the Burners, the Fire Drakes trim their armor with silver. Though they have only begun to dedicate their lives to the flame that burns within them, its vitality emanates through their skin, scorching their scales to a reddish-gray.",https://units.wesnoth.org/1.14/mainline/en_US/Fire%20Drake.html,8
‒,fire_drake,‒,lawful,51,82,inferno_drake,3,5,150,"Inferno Drakes are masters of the fire they breathe, respected and feared in their tribes nearly as much as the draconic ancestors themselves. They can prowl unharmed through a firestorm of their own creation, scales tinged red from extensive use of their inner flame, their sculpted red-gold armor enhancing the illusion that they are, in fact, dragons.",https://units.wesnoth.org/1.14/mainline/en_US/Inferno%20Drake.html,9
‒,‒,"drake_thrasher,drake_arbiter",lawful,19,43,drake_clasher,1,5,45,"The Clashers are members of a unique caste among the drakes. Their thick armor, while compensating for the drakes’ natural weakness against spears and arrows, is so heavy and restricting that they are not able to fly or muster enough breath to use their inner fire. They have embraced this handicap, completely encasing their wings to emphasize that they do not need flight to triumph in battle.
This is also the only caste that is allowed to break taboo and fight with spears in addition to the drake’s traditional metal claws, which makes them particularly good at ""resolving"" territorial disputes with other drakes and enforcing the laws of their tribe.
Special Notes: The length of this unit’s weapon allows it to strike first in melee, even in defense.",https://units.wesnoth.org/1.14/mainline/en_US/Drake%20Clasher.html,10
